label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
SS,Carbon,Aramid,,Epoxy,TS,I,Prepreg press molding,,,NA,NA,26.7,23.3,0.0,50.0,23.45,1.02,12.2,412.00,,,,1.60
SS,Carbon,Aramid,,Epoxy,TS,I,Prepreg press molding,,,NA,NA,23.3,26.7,0.0,50.0,23.45,1.02,12.2,464.00,,,,1.63
SS,Carbon,Aramid,,Epoxy,TS,I,Prepreg press molding,,,NA,NA,26.1,23.9,0.0,50.0,23.45,1.02,12.2,621.00,,,,1.63
SS,Carbon,Aramid,,Epoxy,TS,I,Prepreg press molding,,,NA,NA,23.9,26.1,0.0,50.0,23.45,1.02,12.2,660.00,,,,1.75
SN,Glass,Kenaf,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,4.9,4.2,0.0,90.9,,,,,,125.00,5.50,0.34
SN,Glass,Kenaf,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,4.9,8.5,0.0,86.6,,,,,,150.00,6.50,0.38
SN,Glass,Kenaf,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,4.9,12.9,0.0,82.2,,,,,,160.00,7.70,0.41
SN,Glass,Kenaf,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,4.9,17.4,0.0,77.7,,,,,,175.00,9.20,0.48
SN,Glass,Kenaf,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,4.9,22.1,0.0,73.1,,,,,,170.00,8.80,0.45
SN,Glass,Kenaf,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,2.4,26.0,0.0,71.6,,,,,,165.00,7.70,0.44
N,Banana,,,Epoxy,TS,,CM,No,,Izod,ASTM D4812,31.0,0.0,0.0,69.0,,,,21.00,0.62,56.00,,7.60
SN,Glass,Banana,,Epoxy,TS,S,CM,No,,Izod,ASTM D4812,8.0,20.0,0.0,72.0,,,,46.00,1.42,132.00,,10.20
SN,Glass,Banana,,Epoxy,TS,I,CM,No,,Izod,ASTM D4812,14.0,16.0,0.0,70.0,,,,88.00,1.94,176.00,,12.50
N,Sisal,,,Epoxy,TS,,CM,No,,Izod,ASTM D4812,29.0,0.0,0.0,71.0,,,,23.00,0.67,61.00,,8.40
SN,Glass,Sisal,,Epoxy,TS,S,CM,No,,Izod,ASTM D4812,9.0,21.0,0.0,70.0,,,,52.00,1.57,159.00,,11.70
SN,Glass,Sisal,,Epoxy,TS,I,CM,No,,Izod,ASTM D4812,13.0,15.0,0.0,72.0,,,,93.00,2.21,184.00,,13.30
NN,Banana,Sisal,,Epoxy,TS,I,CM,No,,Izod,ASTM D4812,16.0,15.0,0.0,69.0,,,,25.00,0.75,62.00,,7.40
SN,Glass,Banana,Sisal,Epoxy,TS,I,CM,No,,Izod,ASTM D4812,8.00,12.00,11.00,69.00,,,,64.00,1.63,192.00,,11.30
SN,Glass,Banana,Sisal,Epoxy,TS,I,CM,No,,Izod,ASTM D4812,14.00,7.00,6.00,73.00,,,,104.00,2.35,163.00,,12.80
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,571.00,,170.00,,2.91
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,267.00,,130.00,,2.14
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,160.00,,70.00,,1.38
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,548.00,,260.00,,3.01
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,250.00,,200.00,,2.09
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,151.00,,80.00,,1.33
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,510.00,,350.00,,2.96
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,231.00,,250.00,,2.04
SN,Carbon,Jute,,Epoxy,TS,I,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,147.00,,90.00,,1.38
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,496.00,,455.00,,3.06
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,231.00,,295.00,,2.24
SN,Carbon,Jute,,Epoxy,TS,S,VI,No,,Charpy,ASTM D6110,16.0,30.0,0.0,54.0,,,,140.00,,105.00,,1.43
SN,Glass,Empty fruit bunch,,Vinylester,TS,S,RTM,No,,Izod,ASTM D256,,,,,,,11,55.00,0.55,140.00,4.00,9.90
