label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
S,Glass,,,Epoxy,TS,,HL,,,Izod,ASTM D4812,22.4,0.0,0.0,77.6,,,,100.77,,,,2.18
SN,Glass,Sisal,,Epoxy,TS,,HL,No,,Izod,ASTM D4812,3.4,18.8,0.0,77.8,,,,71.22,,,,1.43
N,Sisal,,,Unsaturated polyester,TS,,HL,No,,Izod,ASTM D256,20.0,0.0,0.0,80.0,,,,19.60,,54.10,,0.43
N,Bamboo,,,Unsaturated polyester,TS,,HL,No,,Izod,ASTM D256,20.0,0.0,0.0,80.0,,,,23.10,,55.40,,0.58
NN,Sisal,Bamboo,,Unsaturated polyester,TS,,HL,Yes,Alkali,Izod,ASTM D256,10.0,10.0,0.0,80.0,,,,38.40,,78.20,,0.89
SN,Glass,Bamboo,,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,40.0,0.0,40.0,,,,12.50,,,,0.06
SN,Glass,Kenaf,,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,40.0,0.0,40.0,,,,12.00,,,,0.08
SN,Glass,Kenaf,Bamboo,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,30.0,10.0,40.0,,,,18.00,,,,0.09
N,Oil palm,,,Epoxy,TS,,,No,,Izod,ASTM D256,40.0,0.0,0.0,60.0,,,,,,41.70,2.30,0.30
N,Jute,,,Epoxy,TS,,,No,,Izod,ASTM D256,40.0,0.0,0.0,60.0,,,,,,75.50,4.32,0.10
NN,Jute,Oil palm,,Epoxy,TS,S,,No,,Izod,ASTM D256,32.0,8.0,0.0,60.0,,,,,,44.30,2.68,0.21
N,Jute,,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,36.0,0.0,0.0,64.0,,1.5,,80.19,9.58,121.80,7.64,4.05
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,4.4,31.2,0.0,64.4,,1.5,,87.85,10.95,139.98,9.11,11.78
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,9.1,23.0,0.0,67.9,,1.5,,109.90,11.29,159.80,11.06,21.59
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,14.4,16.3,0.0,69.3,,1.5,,123.94,12.47,159.85,12.38,27.23
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,9.5,9.5,0.0,81.0,,,25,38.00,1.35,47.50,2.25,0.50
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,16.0,16.0,0.0,68.0,,,25,51.00,1.44,54.00,2.38,0.98
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,20.0,20.0,0.0,60.0,,,25,57.50,1.60,62.50,2.84,1.23
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,10.5,10.5,0.0,79.0,,,25,51.50,1.62,57.50,2.28,0.42
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,14.5,14.5,0.0,71.0,,,25,61.50,1.87,67.50,2.51,0.86
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,21.0,21.0,0.0,58.0,,,25,72.50,1.94,80.00,3.01,1.16
NN,Banana,Sisal,,Unsaturated polyester,TS,I,HL+CM,No,,Izod,NA,40.0,10.0,0.0,50.0,,,25,62.00,,52.00,,5.63
SS,Glass,Carbon,,Unsaturated polyester,TS,S,HL,,,Izod,ASTM D256,7.1,43.2,0.0,49.7,,,150,105.00,,225.00,,2.35
SS,Glass,Carbon,,Unsaturated polyester,TS,I,HL,,,Izod,ASTM D256,14.7,33.6,0.0,51.6,,,150,110.00,,255.00,,2.77
SS,Glass,Carbon,,Unsaturated polyester,TS,I,HL,,,Izod,ASTM D256,23.0,23.3,0.0,53.7,,,150,98.00,,220.00,,2.22
SN,Carbon,Basalt,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,43.1,7.3,0.0,49.6,,,150,128.00,,405.00,,1.97
SN,Carbon,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,33.5,15.1,0.0,51.4,,,150,145.00,,448.00,,1.78
SN,Carbon,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,23.2,23.5,0.0,53.4,,,150,65.00,,145.00,,1.52
SN,Glass,Basalt,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,33.2,8.5,0.0,58.2,,,150,70.00,,155.00,,1.14
SN,Glass,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,24.9,17.0,0.0,58.1,,,150,79.00,,175.00,,0.89
SN,Glass,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,16.5,25.5,0.0,58.0,,,150,59.00,,125.00,,1.08
SN,Glass,Sisal,,Polyester,TS,,HL+CM,No,,Izod,ASTM D256,2.8,21.1,0.0,76.1,,,,98.00,,138.00,,0.43
SN,Glass,Sisal,,Polyester,TS,,HL+CM,Yes,Alkali,Izod,ASTM D256,2.8,21.1,0.0,76.1,,,,127.50,,148.00,,0.50
SN,Glass,Sisal,,Polyester,TS,,HL+CM,Yes,Alkali,Izod,ASTM D256,2.8,21.1,0.0,76.1,,,,110.00,,140.00,,0.44
SN,Glass,Sisal,,Polyester,TS,,HL+CM,Yes,Cyanoethylation,Izod,ASTM D256,2.8,21.1,0.0,76.1,,,,112.50,,150.00,,0.47
SN,Glass,Sisal,,Polyester,TS,,HL+CM,Yes,Acetylation,Izod,ASTM D256,2.8,21.1,0.0,76.1,,,,117.50,,145.00,,0.50
SN,Glass,Pineapple,,Polyester,TS,,HL+CM,No,,Izod,ASTM D256,6.5,10.7,0.0,82.8,,,,65.00,,140.00,,0.39
SN,Glass,Sisal,,Orthophthalic polyester,TS,S,RTM,Yes,Alkali,Izod,ASTM D256,13.5,6.5,0.0,80.0,0.95,3.4,5.5,62.60,1.33,181.10,8.61,2.64
N,Palmyra,,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,31.0,0.0,0.0,69.0,,,,25.90,2.28,105.49,15.32,1.42
N,Jute,,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,29.3,0.0,0.0,70.7,,,,77.10,5.07,176.00,19.26,0.96
NN,Jute,Palmyra,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,7.2,23.4,0.0,69.4,,,,60.30,2.84,116.83,16.83,1.36
SN,Glass,Vetiver,,Vinylester,TS,,HL,No,,Izod,ASTM D256,7.8,16.7,0.0,75.5,,,,53.21,1.01,97.27,2.05,8.67
SN,Glass,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,13.0,9.1,0.0,77.9,,,,64.42,2.45,120.06,3.22,16.67
SN,Glass,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,7.8,16.7,0.0,75.6,,,,69.76,2.10,131.92,3.15,14.33
SN,Glass,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,5.2,20.7,0.0,74.2,,,,60.89,1.85,124.27,3.67,12.67
NN,Jute,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,15.0,14.0,0.0,71.0,,,,71.73,1.74,133.11,2.89,11.00
NN,Jute,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,21.1,8.2,0.0,70.7,,,,63.30,1.65,114.79,3.61,10.33
NN,Jute,Vetiver,,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,8.9,19.9,0.0,71.3,,,,65.12,1.87,121.31,3.05,11.67
SN,Glass,Jute,Vetiver,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,4.1,11.8,11.0,73.1,,,,74.14,2.11,131.90,3.36,15.33
SN,Glass,Jute,Vetiver,Vinylester,TS,,HL,Yes,,Izod,ASTM D256,7.3,9.3,8.7,74.7,,,,7.96,2.32,137.60,2.95,18.33
S,Carbon,,,Phenolic,TS,,HL,,,Charpy,ASTM D6110,38.8,0.0,0.0,61.2,,,,,,477.23,40.64,2.10
N,Basalt,,,Phenolic,TS,,HL,No,,Charpy,ASTM D6110,31.8,0.0,0.0,68.2,,,,,,426.31,16.00,8.04
SN,Carbon,Basalt,,Phenolic,TS,S,HL,No,,Charpy,ASTM D6110,27.1,9.1,0.0,63.9,,,,,,461.82,28.68,3.30
SN,Carbon,Basalt,,Phenolic,TS,I,HL,No,,Charpy,ASTM D6110,16.9,17.2,0.0,65.9,,,,,,444.21,23.27,50.52
SN,Carbon,Basalt,,Phenolic,TS,I,HL,No,,Charpy,ASTM D6110,14.0,19.3,0.0,66.6,,,,,,438.12,21.28,5.45
SN,Carbon,Basalt,,Phenolic,TS,I,HL,No,,Charpy,ASTM D6110,7.8,24.8,0.0,67.4,,,,,,435.15,17.67,6.57
S,Glass,,,Epoxy,TS,,HL+CM,,,Charpy,ASTM D6110,50.0,0.0,0.0,50.0,8.36,2.16,19.502208,,,510.00,28.00,0.71
N,Basalt,,,Epoxy,TS,,HL+CM,No,,Charpy,ASTM D6110,55.4,0.0,0.0,44.6,8.36,2.16,19.502208,,,560.00,30.00,1.46
S,Carbon,,,Epoxy,TS,,HL+CM,,,Charpy,ASTM D6110,65.5,0.0,0.0,34.5,8.36,2.16,19.502208,,,570.00,65.00,0.81
SN,Carbon,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,51.1,15.4,0.0,33.5,8.36,2.16,19.502208,,,850.00,61.00,1.53
SN,Carbon,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,38.4,27.1,0.0,34.5,8.36,2.16,19.502208,,,730.00,48.00,1.44
SN,Carbon,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,24.4,39.9,0.0,35.7,8.36,2.16,19.502208,,,700.00,42.00,2.24
SN,Glass,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,13.9,46.6,0.0,39.5,8.36,2.16,19.502208,,,870.00,60.00,0.95
SN,Glass,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,25.5,36.6,0.0,37.9,8.36,2.16,19.502208,,,740.00,47.00,0.59
SN,Glass,Basalt,,Epoxy,TS,I,HL+CM,No,,Charpy,ASTM D6110,38.1,23.4,0.0,38.5,8.36,2.16,19.502208,,,775.00,41.00,1.39
S,Carbon,,,Epoxy,TS,,CM,,,Charpy,NA,60.0,0.0,0.0,40.0,,,2.7,1220.00,,1430.00,,0.46
SS,Carbon,Aramid,,Epoxy,TS,I,CM,,,Charpy,NA,40.0,20.0,0.0,40.0,,,2.7,1250.00,,1150.00,,1.05
SS,Carbon,Aramid,,Epoxy,TS,S,CM,,,Charpy,NA,20.0,40.0,0.0,40.0,,,2.7,,,954.00,,1.33
S,Aramid,,,Epoxy,TS,,CM,,,Charpy,NA,60.0,0.0,0.0,40.0,,,2.7,1660.00,,580.00,,1.62
SS,Glass,Carbon,,Epoxy,TS,I,VI,,,Charpy,ASTM E23,37.0,24.0,0.0,39.0,,,2.7,418.58,33.07,,,2.70
SS,Glass,Carbon,,Epoxy,TS,I,VI,,,Charpy,ASTM E23,38.0,24.3,0.0,37.7,,,4.1,527.49,33.63,,,4.10
